airport,total_passengers,airport_role
SVO,155073,Departure
DME,144430,Departure
LED,64914,Departure
VKO,61160,Departure
OVB,46349,Departure
SVX,36108,Departure
AER,32159,Departure
PEE,31746,Departure
KHV,22792,Departure
KZN,18625,Departure
ULV,18597,Departure
KVX,16894,Departure
BZK,16182,Departure
VOG,15007,Departure
ROV,14506,Departure
KRR,13672,Departure
UFA,13463,Departure
SCW,13338,Departure
OVS,13069,Departure
IKT,12613,Departure
KUF,12143,Departure
MRV,11558,Departure
MCX,11233,Departure
TJM,10897,Departure
EGO,10644,Departure
KJA,10170,Departure
CSY,9998,Departure
CEK,9910,Departure
AAQ,9502,Departure
GOJ,9282,Departure
KGD,8202,Departure
URJ,8030,Departure
NUX,7624,Departure
REN,7410,Departure
NSK,7228,Departure
ESL,7079,Departure
HMA,6831,Departure
VVO,6006,Departure
OMS,5659,Departure
MJZ,5491,Departure
NOZ,5174,Departure
ARH,5128,Departure
MQF,4932,Departure
UUS,4838,Departure
NNM,4752,Departure
SGC,4645,Departure
PES,4544,Departure
KRO,4516,Departure
UUA,4379,Departure
NJC,4268,Departure
VKT,4258,Departure
TOF,4190,Departure
BAX,3302,Departure
MMK,2858,Departure
KEJ,2776,Departure
BTK,2696,Departure
ASF,2616,Departure
YKS,2584,Departure
SLY,2473,Departure
OGZ,2352,Departure
NBC,2180,Departure
RTW,2165,Departure
BQS,2054,Departure
NAL,1907,Departure
ABA,1903,Departure
NOJ,1784,Departure
GDZ,1696,Departure
STW,1685,Departure
NYM,1603,Departure
HTA,1505,Departure
VOZ,1468,Departure
PKC,1377,Departure
SKX,1116,Departure
UUD,1079,Departure
URS,1037,Departure
ULY,935,Departure
UIK,800,Departure
IJK,721,Departure
TBW,641,Departure
CNN,616,Departure
GRV,584,Departure
PEZ,582,Departure
DYR,540,Departure
NFG,464,Departure
KGP,431,Departure
GDX,407,Departure
KXK,398,Departure
KLF,304,Departure
UCT,282,Departure
CEE,187,Departure
USK,176,Departure
NYA,111,Departure
RGK,91,Departure
SWT,22,Departure
SVO,150086,Arrival
DME,139887,Arrival
LED,66994,Arrival
VKO,60040,Arrival
OVB,47041,Arrival
SVX,36867,Arrival
AER,32657,Arrival
PEE,31875,Arrival
KHV,22961,Arrival
KZN,18790,Arrival
ULV,18617,Arrival
KVX,16930,Arrival
BZK,16472,Arrival
VOG,15166,Arrival
ROV,14825,Arrival
UFA,13976,Arrival
KRR,13974,Arrival
SCW,13339,Arrival
OVS,13122,Arrival
IKT,12814,Arrival
KUF,12521,Arrival
MRV,11906,Arrival
MCX,11479,Arrival
TJM,11028,Arrival
EGO,10656,Arrival
KJA,10312,Arrival
CSY,10137,Arrival
CEK,10044,Arrival
AAQ,9734,Arrival
GOJ,9447,Arrival
KGD,8479,Arrival
URJ,8036,Arrival
NUX,7915,Arrival
REN,7435,Arrival
NSK,7249,Arrival
ESL,7080,Arrival
HMA,6839,Arrival
VVO,6294,Arrival
OMS,5958,Arrival
MJZ,5497,Arrival
ARH,5270,Arrival
NOZ,5211,Arrival
UUS,5131,Arrival
MQF,4942,Arrival
NNM,4755,Arrival
SGC,4656,Arrival
PES,4539,Arrival
KRO,4518,Arrival
NJC,4402,Arrival
UUA,4382,Arrival
VKT,4264,Arrival
TOF,4204,Arrival
BAX,3327,Arrival
MMK,2988,Arrival
KEJ,2764,Arrival
BTK,2701,Arrival
ASF,2609,Arrival
YKS,2572,Arrival
SLY,2474,Arrival
OGZ,2445,Arrival
NBC,2184,Arrival
RTW,2169,Arrival
BQS,2061,Arrival
NAL,1912,Arrival
ABA,1901,Arrival
NOJ,1793,Arrival
GDZ,1694,Arrival
STW,1685,Arrival
NYM,1607,Arrival
HTA,1506,Arrival
PKC,1479,Arrival
VOZ,1468,Arrival
SKX,1117,Arrival
UUD,1088,Arrival
URS,1037,Arrival
ULY,935,Arrival
UIK,800,Arrival
IJK,721,Arrival
TBW,641,Arrival
CNN,623,Arrival
GRV,586,Arrival
PEZ,582,Arrival
DYR,578,Arrival
NFG,464,Arrival
KGP,435,Arrival
GDX,416,Arrival
KXK,369,Arrival
KLF,304,Arrival
UCT,282,Arrival
CEE,209,Arrival
USK,201,Arrival
NYA,132,Arrival
RGK,92,Arrival
SWT,22,Arrival
