departure_airport,total_passengers,passenger_share,airport_role,arrival_airport
SVO,155073,0.1482921912623383,Departure,
DME,144430,0.1381145730334715,Departure,
LED,64914,0.062075534126530274,Departure,
VKO,61160,0.05848568363031999,Departure,
OVB,46349,0.044322317700812644,Departure,
SVX,36108,0.034529121395088194,Departure,
AER,32159,0.03075279757795063,Departure,
PEE,31746,0.03035785664696106,Departure,
KHV,22792,0.02179538425935666,Departure,
KZN,18625,0.0178105928321568,Departure,
ULV,18597,0.017783817175818523,Departure,
KVX,16894,0.01615528350638695,Departure,
BZK,16182,0.015474416816642219,Departure,
VOG,15007,0.01435079552387528,Departure,
ROV,14506,0.01387170253010827,Departure,
KRR,13672,0.013074170480603905,Departure,
UFA,13463,0.012874309331507489,Departure,
SCW,13338,0.012754775151425899,Departure,
OVS,13069,0.01249753759589032,Departure,
IKT,12613,0.012061476906952681,Departure,
KUF,12143,0.011612028389845905,Departure,
MRV,11558,0.011052608427064068,Departure,
MCX,11233,0.010741819558851937,Departure,
TJM,10897,0.010420511682792625,Departure,
EGO,10644,0.010178574502307488,Departure,
KJA,10170,0.009725300891438101,Departure,
CSY,9998,0.009560821859645834,Departure,
CEK,9910,0.009476669796868396,Departure,
AAQ,9502,0.009086510233082089,Departure,
GOJ,9282,0.00887613007613849,Departure,
KGD,8202,0.00784335476023356,Departure,
URJ,8030,0.007678875728441293,Departure,
NUX,7624,0.007290628711536291,Departure,
REN,7410,0.007085986195236611,Departure,
NSK,7228,0.006911944429037817,Departure,
ESL,7079,0.006769459686380562,Departure,
HMA,6831,0.006532303873098689,Departure,
VVO,6006,0.0057433782845602,Departure,
OMS,5659,0.005411551400653709,Departure,
MJZ,5491,0.005250897462624053,Departure,
NOZ,5174,0.004947758781937143,Departure,
ARH,5128,0.004903770203667117,Departure,
MQF,4932,0.004716340609299185,Departure,
UUS,4838,0.00462645090587783,Departure,
NNM,4752,0.0045442113899816965,Departure,
SGC,4645,0.004441890131831857,Departure,
PES,4544,0.004345306514325933,Departure,
KRO,4516,0.004318530857987657,Departure,
UUA,4379,0.004187521396618234,Departure,
NJC,4268,0.004081375044705783,Departure,
VKT,4258,0.004071812310299256,Departure,
TOF,4190,0.004006785716334871,Departure,
BAX,3302,0.0031576149010352616,Departure,
MMK,2858,0.0027330294933854567,Departure,
KEJ,2776,0.002654615071251934,Departure,
BTK,2696,0.002578113195999717,Departure,
ASF,2616,0.0025016113207474997,Departure,
YKS,2584,0.002471010570646613,Departure,
SLY,2473,0.002364864218734162,Departure,
OGZ,2352,0.0022491551324151835,Departure,
NBC,2180,0.0020846761006229164,Departure,
RTW,2165,0.0020703319990131256,Departure,
BQS,2054,0.0019641856471006745,Departure,
NAL,1907,0.0018236134513247256,Departure,
ABA,1903,0.0018197883575621148,Departure,
NOJ,1784,0.0017059918181244417,Departure,
GDZ,1696,0.001621839755347003,Departure,
STW,1685,0.0016113207474998232,Departure,
NYM,1603,0.0015329063253663006,Departure,
HTA,1505,0.0014391915281823345,Departure,
VOZ,1468,0.0014038094108781841,Departure,
PKC,1377,0.0013167885277787872,Departure,
SKX,1116,0.0010672011597684288,Departure,
UUD,1079,0.0010318190424642784,Departure,
URS,1037,0.0009916555579568644,Departure,
ULY,935,0.0008941156670102876,Departure,
UIK,800,0.0007650187525221712,Departure,
IJK,721,0.0006894731507106068,Departure,
TBW,641,0.0006129712754583896,Departure,
CNN,616,0.0005890644394420719,Departure,
GRV,584,0.000558463689341185,Departure,
PEZ,582,0.0005565511424598796,Departure,
DYR,540,0.0005163876579524656,Departure,
NFG,464,0.0004437108764628593,Departure,
KGP,431,0.00041215385292131974,Departure,
GDX,407,0.0003892032903456546,Departure,
KXK,398,0.00038059682937978016,Departure,
KLF,304,0.0002907071259584251,Departure,
UCT,282,0.00026966911026406534,Departure,
CEE,187,0.0001788231334020575,Departure,
USK,176,0.00016830412555487767,Departure,
NYA,111,0.00010614635191245126,Departure,
RGK,91,8.702088309939697e-05,Departure,
SWT,22,2.103801569435971e-05,Departure,
,150086,0.14352325561380325,Arrival,SVO
,139887,0.1337702227925862,Arrival,DME
,66994,0.06406458288308792,Arrival,LED
,60040,0.05741465737678895,Arrival,VKO
,47041,0.04498405892174432,Arrival,OVB
,36867,0.03525493293654361,Arrival,SVX
,32657,0.03122902175139568,Arrival,AER
,31875,0.030481215920805257,Arrival,PEE
,22961,0.021956994470826965,Arrival,KHV
,18790,0.017968377949864497,Arrival,KZN
,18617,0.017802942644631576,Arrival,ULV
,16930,0.016189709350250447,Arrival,KVX
,16472,0.015751736114431505,Arrival,BZK
,15166,0.014502843000939061,Arrival,VOG
,14825,0.014176753757676484,Arrival,ROV
,13976,0.01336487760656233,Arrival,UFA
,13974,0.013362965059681025,Arrival,KRR
,13339,0.012755731424866553,Arrival,SCW
,13122,0.012548220088244914,Arrival,OVS
,12814,0.012253687868523877,Arrival,IKT
,12521,0.011973499750412632,Arrival,KUF
,11906,0.011385391584411212,Arrival,MRV
,11479,0.010977062825252504,Arrival,MCX
,11028,0.01054578350351813,Arrival,TJM
,10656,0.01019004978359532,Arrival,EGO
,10312,0.009861091720010786,Arrival,KJA
,10137,0.009693743867896561,Arrival,CSY
,10044,0.00960481043791586,Arrival,CEK
,9734,0.009308365671313518,Arrival,AAQ
,9447,0.009033915193846189,Arrival,GOJ
,8479,0.008108242503294363,Arrival,KGD
,8036,0.007684613369085209,Arrival,URJ
,7915,0.007568904282766231,Arrival,NUX
,7435,0.007109893031252929,Arrival,REN
,7249,0.0069320261712915235,Arrival,NSK
,7080,0.006770415959821215,Arrival,ESL
,6839,0.006539954060623911,Arrival,HMA
,6294,0.006018785035468182,Arrival,VVO
,5958,0.00569747715940887,Arrival,OMS
,5497,0.005256635103267969,Arrival,MJZ
,5270,0.0050395610322398025,Arrival,ARH
,5211,0.004983140899241293,Arrival,NOZ
,5131,0.0049066390239890754,Arrival,UUS
,4942,0.004725903343705712,Arrival,MQF
,4755,0.004547080210303655,Arrival,NNM
,4656,0.004452409139679037,Arrival,SGC
,4539,0.004340525147122669,Arrival,PES
,4518,0.0043204434048689615,Arrival,KRO
,4402,0.004209515685753247,Arrival,NJC
,4382,0.004190390216940193,Arrival,UUA
,4264,0.004077549950943173,Arrival,VKT
,4204,0.00402017354450401,Arrival,TOF
,3327,0.0031815217370515796,Arrival,BAX
,2988,0.0028573450406703094,Arrival,MMK
,2764,0.0026431397899641016,Arrival,KEJ
,2701,0.0025828945632029804,Arrival,BTK
,2609,0.002494917406662931,Arrival,ASF
,2572,0.0024595352893587805,Arrival,YKS
,2474,0.0023658204921748146,Arrival,SLY
,2445,0.002338088562395886,Arrival,OGZ
,2184,0.002088501194385527,Arrival,NBC
,2169,0.002074157092775737,Arrival,RTW
,2061,0.0019708795611852437,Arrival,BQS
,1912,0.0018283948185279892,Arrival,NAL
,1901,0.0018178758106808094,Arrival,ABA
,1793,0.0017145982790903163,Arrival,NOJ
,1694,0.0016199272084656976,Arrival,GDZ
,1685,0.0016113207474998232,Arrival,STW
,1607,0.0015367314191289114,Arrival,NYM
,1506,0.0014401478016229873,Arrival,HTA
,1479,0.001414328418725364,Arrival,PKC
,1468,0.0014038094108781841,Arrival,VOZ
,1117,0.0010681574332090816,Arrival,SKX
,1088,0.0010404255034301528,Arrival,UUD
,1037,0.0009916555579568644,Arrival,URS
,935,0.0008941156670102876,Arrival,ULY
,800,0.0007650187525221712,Arrival,UIK
,721,0.0006894731507106068,Arrival,IJK
,641,0.0006129712754583896,Arrival,TBW
,623,0.0005957583535266408,Arrival,CNN
,586,0.0005603762362224904,Arrival,GRV
,582,0.0005565511424598796,Arrival,PEZ
,578,0.0005527260486972687,Arrival,DYR
,464,0.0004437108764628593,Arrival,NFG
,435,0.0004159789466839306,Arrival,KGP
,416,0.00039780975131152905,Arrival,GDX
,369,0.0003528648996008515,Arrival,KXK
,304,0.0002907071259584251,Arrival,KLF
,282,0.00026966911026406534,Arrival,UCT
,209,0.00019986114909641722,Arrival,CEE
,201,0.0001922109615711955,Arrival,USK
,132,0.00012622809416615825,Arrival,NYA
,92,8.797715654004968e-05,Arrival,RGK
,22,2.103801569435971e-05,Arrival,SWT
