route,total_tickets,business_tickets,total_revenue,business_revenue,average_revenue_per_ticket,business_revenue_per_ticket
LED ↔ SVO,31885,5186,254899200,93348000,7994.329622079347,18000.0
BZK ↔ SVO,10543,1308,48913900,14518800,4639.466944892346,11100.0
BZK ↔ DME,9349,1157,39964300,11917100,4274.7138731415125,10300.0
NOZ ↔ OVB,9180,1126,34549600,10246600,3763.5729847494554,9100.0
AAQ ↔ EGO,8610,1073,68020200,20279700,7900.139372822299,18900.0
DME ↔ ULV,8319,1016,69752200,20523200,8384.685659334054,20200.0
GOJ ↔ SVO,8196,997,40833100,11864300,4982.076622742801,11900.0
TJM ↔ URJ,8031,1012,33204800,9917600,4134.578508280413,9800.0
PEE ↔ ULV,7991,996,63146100,18824400,7902.1524214741585,18900.0
KVX ↔ KZN,7951,969,31864700,9399300,4007.6342598415295,9700.0
MCX ↔ MRV,7921,984,39731200,11808000,5015.932331776291,12000.0
KHV ↔ VVO,7893,978,61210200,18093000,7754.998099581908,18500.0
CSY ↔ SVO,7667,940,59342800,17390000,7740.028694404591,18500.0
PEE ↔ SVX,7274,926,29222200,8797000,4017.3494638438274,9500.0
BZK ↔ VKO,6615,807,27261900,7989300,4121.224489795918,9900.0
