airport,total_passengers,total_flights
AAQ,19236.0,239
ABA,3804.0,261
AER,64816.0,698
ARH,10398.0,449
ASF,5225.0,265
BAX,6629.0,169
BQS,4115.0,119
BTK,5397.0,120
BZK,32654.0,626
CEE,396.0,56
CEK,19954.0,455
CNN,1239.0,83
CSY,20135.0,472
DME,284317.0,5175
DYR,1118.0,28
EGO,21300.0,445
ESL,14159.0,405
EYK,0.0,0
GDX,823.0,31
GDZ,3390.0,152
GOJ,18729.0,518
GRV,1170.0,115
HMA,13670.0,482
HTA,3011.0,149
IAR,0.0,0
IJK,1442.0,114
IKT,25427.0,432
IWA,0.0,0
JOK,0.0,0
KEJ,5540.0,120
KGD,16681.0,298
KGP,866.0,125
KHV,45753.0,640
KJA,20482.0,552
KLF,608.0,111
KRO,9034.0,310
KRR,27646.0,280
KUF,24664.0,243
KVX,33824.0,580
KXK,767.0,30
KYZ,0.0,0
KZN,37415.0,687
LED,131908.0,2530
LPK,0.0,0
MCX,22712.0,360
MJZ,10988.0,468
MMK,5846.0,238
MQF,9874.0,457
MRV,23464.0,402
NAL,3819.0,223
NBC,4364.0,290
NFG,928.0,79
NJC,8670.0,348
NNM,9507.0,279
NOJ,3577.0,265
NOZ,10385.0,278
NSK,14477.0,239
NUX,15539.0,722
NYA,243.0,14
NYM,3210.0,161
OGZ,4797.0,237
OMS,11617.0,382
OSW,0.0,0
OVB,93390.0,1328
OVS,26191.0,656
PEE,63621.0,921
PES,9083.0,505
PEZ,1164.0,254
PKC,2856.0,50
PKV,0.0,0
PYJ,0.0,0
REN,14845.0,461
RGK,183.0,15
ROV,29331.0,621
RTW,4334.0,339
SCW,26677.0,372
SGC,9301.0,345
SKX,2233.0,226
SLY,4947.0,233
STW,3370.0,215
SVO,305159.0,4833
SVX,72975.0,893
SWT,44.0,26
TBW,1282.0,224
TJM,21925.0,589
TOF,8394.0,330
UCT,564.0,162
UFA,27439.0,542
UIK,1600.0,76
UKX,0.0,0
ULV,37214.0,558
ULY,1870.0,209
URJ,16066.0,241
URS,2074.0,120
USK,377.0,30
UUA,8761.0,329
UUD,2167.0,101
UUS,9969.0,339
VKO,121200.0,2714
VKT,8522.0,263
VOG,30173.0,497
VOZ,2936.0,234
VVO,12300.0,358
YKS,5156.0,237
