route,total_tickets,business_tickets,total_revenue,business_revenue,average_revenue_per_ticket,business_revenue_per_ticket
GDX ↔ MRV,414,70,37273900,14091000,90033.57487922705,201300.0
DYR ↔ SVO,546,83,44103100,15379900,80774.90842490843,185300.0
GDX ↔ SCW,409,55,25395800,8052000,62092.42053789731,146400.0
KXK ↔ SVX,767,109,47484100,15728700,61908.865710560625,144300.0
UUD ↔ VKO,737,124,43826400,16516800,59465.94301221167,133200.0
HTA ↔ UFA,721,123,36068600,13726800,50025.79750346741,111600.0
KRR ↔ NOZ,186,18,7836000,1897200,42129.032258064515,105400.0
AER ↔ NOZ,644,54,26872000,5767200,41726.70807453416,106800.0
DYR ↔ KHV,572,90,23166700,8298000,40501.22377622378,92200.0
MJZ ↔ SVX,11,2,445500,178200,40500.0,89100.0
RGK ↔ SVO,183,24,7245500,2256000,39592.89617486339,94000.0
AER ↔ KGP,212,23,7919500,2109100,37356.1320754717,91700.0
TOF ↔ VOG,589,79,21293200,6730800,36151.44312393888,85200.0
CEE ↔ NOZ,187,18,6700700,1612800,35832.62032085562,89600.0
ARH ↔ TOF,494,0,12714000,0,25736.842105263157,
LED ↔ NOJ,519,0,12339600,0,23775.7225433526,
