route,count,mean,median
AAQ ↔ EGO,8610,20.784929990966575,20.121180555555554
AAQ ↔ SVO,10626,19.7586936262208,19.099652777777777
ABA ↔ DME,1955,21.60238739698778,20.885416666666668
ABA ↔ OVB,901,20.329383247009496,19.928472222222222
ABA ↔ TOF,948,20.40863294069386,20.150694444444444
AER ↔ KJA,1120,22.0136576140873,21.334722222222222
AER ↔ KUF,11614,20.540462301245622,19.695138888888888
AER ↔ NOZ,644,22.199047834713596,21.26493055555556
AER ↔ ROV,4957,21.580980319637774,21.316666666666666
AER ↔ SVO,29816,20.0230228969159,19.25
AER ↔ VKO,15656,20.017241659214786,19.271875
ARH ↔ DME,3667,19.604631965275882,19.06388888888889
ARH ↔ HMA,919,21.938888888888886,21.04722222222222
ARH ↔ NNM,3928,20.955855397148678,20.372222222222224
ARH ↔ PEE,908,20.44070530469897,19.784375
ASF ↔ BAX,981,22.952551959451807,21.785416666666666
ASF ↔ DME,2081,19.578423167280686,18.993055555555557
ASF ↔ SVO,2163,19.600904736220272,18.98263888888889
BAX ↔ DME,1830,20.750020491803276,20.272222222222222
BAX ↔ SVO,1905,21.908030402449697,21.279166666666665
BAX ↔ VKO,1913,21.866540338037986,20.906944444444445
BQS ↔ KHV,4115,21.641220804644256,21.344444444444445
BTK ↔ DME,5397,20.270569169085704,19.738888888888887
BZK ↔ DME,9349,20.212770453762136,19.57847222222222
BZK ↔ EGO,6147,20.683226235019795,19.729166666666668
BZK ↔ SVO,10543,20.162526544732156,19.306944444444444
BZK ↔ VKO,6615,21.257253506340806,20.259722222222223
CEK ↔ DME,7852,19.75161954491425,18.894444444444446
CEK ↔ IKT,911,22.661137791194047,21.757638888888888
CEK ↔ PEE,2674,20.259680929527136,19.69097222222222
CEK ↔ STW,854,22.090656713505073,21.182291666666668
CEK ↔ VOG,7619,20.60027772308994,19.954166666666666
CNN ↔ DME,933,24.078482642610457,22.750694444444445
CSY ↔ LED,6823,19.79703270799746,19.071527777777778
CSY ↔ NBC,3012,19.894117280876493,19.378125
CSY ↔ SVO,7667,19.584663710273468,18.948611111111113
CSY ↔ VKO,2633,19.800194381145293,19.269444444444446
DME ↔ EGO,6156,20.191991665764203,19.367361111111112
DME ↔ ESL,6590,19.772236975214973,19.083333333333332
DME ↔ GDZ,1362,20.941840022842225,20.441319444444446
DME ↔ GRV,1170,19.77678774928775,19.34548611111111
DME ↔ HMA,5660,19.71426997447978,18.711458333333333
DME ↔ KEJ,2243,20.76437465943429,20.022222222222222
DME ↔ KGD,7729,19.60684246560573,18.84861111111111
DME ↔ KHV,19013,20.10051039639545,19.293055555555554
DME ↔ KRR,16618,19.854664453537662,19.10763888888889
DME ↔ KUF,13050,19.60975377820349,18.850694444444443
DME ↔ KVX,690,19.74970511272142,19.268055555555556
DME ↔ KZN,14202,20.653831179880765,19.77951388888889
DME ↔ LED,19382,19.591516362547154,18.38784722222222
DME ↔ MCX,3410,19.58014601661779,18.97361111111111
DME ↔ MRV,9385,19.746722828982417,18.945833333333333
DME ↔ NAL,2283,19.86456112814523,19.427083333333332
DME ↔ NJC,3729,19.462143000804506,18.815277777777776
DME ↔ NNM,1124,20.30854030743377,19.746875
DME ↔ NSK,7199,20.271275717306416,19.43402777777778
DME ↔ NUX,6423,19.82224276471708,19.194444444444443
DME ↔ NYM,1780,21.436871488764044,20.653125
DME ↔ OVB,31305,19.9471484631493,19.209027777777777
DME ↔ OVS,8106,20.50668049387285,19.9125
DME ↔ PES,1380,19.522894524959742,18.974305555555553
DME ↔ PEZ,576,19.80026162229938,19.290277777777778
DME ↔ PKC,2856,20.772744028166823,20.136111111111113
DME ↔ ROV,6166,20.846595577900313,19.90763888888889
DME ↔ RTW,2338,19.970803036783575,19.338194444444444
DME ↔ SCW,13394,20.926449083752264,20.41423611111111
DME ↔ TBW,888,19.772361423923922,19.405555555555555
DME ↔ TOF,2404,20.79601127750046,19.955902777777776
DME ↔ ULV,8319,20.188298206248078,19.569444444444443
DME ↔ URJ,8035,20.369343842909494,19.78263888888889
DME ↔ URS,2074,19.244207382406515,18.687847222222224
DME ↔ UUA,3122,20.77674300661969,20.094097222222224
DME ↔ UUS,4197,19.74966642840124,18.986805555555556
DME ↔ VKT,4189,20.543242055913634,19.74375
DME ↔ VOZ,2191,20.09647136010954,19.198611111111113
DYR ↔ KHV,572,25.947835324397825,25.11215277777778
DYR ↔ SVO,546,26.043598646723648,23.59236111111111
ESL ↔ SVO,639,19.659820031298903,19.242361111111112
ESL ↔ UFA,5968,19.684372556411976,19.00277777777778
GDZ ↔ SVO,1365,20.918887362637363,20.464583333333334
GDZ ↔ VKO,663,21.20432378079437,20.55
GOJ ↔ LED,5357,20.273426383962832,19.70277777777778
GOJ ↔ NAL,1536,21.0133874963831,20.335416666666667
GOJ ↔ PEE,3230,21.569664172686622,21.040625
GOJ ↔ SVO,8196,20.32961183639716,19.44236111111111
HMA ↔ NUX,624,20.22986111111111,18.897916666666667
HMA ↔ SVX,4315,20.123136346079566,19.30763888888889
HMA ↔ VKO,2152,20.360555749173898,19.102083333333333
HTA ↔ NUX,2290,20.47646197234352,19.67534722222222
HTA ↔ UFA,721,22.197787602095854,21.430555555555557
IJK ↔ SVO,1442,19.646678032054243,18.86875
IKT ↔ KZN,9800,21.01861607142857,20.51076388888889
IKT ↔ LED,13759,20.519007861520944,19.854166666666668
IKT ↔ VVO,860,20.72419331395349,20.471527777777776
KEJ ↔ SVO,2189,21.385597495051012,20.738888888888887
KEJ ↔ VKO,1108,21.866993205976737,21.060069444444444
