route,median_booking_days
AAQ ↔ EGO,20.121180555555554
AAQ ↔ SVO,19.099652777777777
ABA ↔ DME,20.885416666666668
ABA ↔ OVB,19.928472222222222
ABA ↔ TOF,20.150694444444444
AER ↔ KJA,21.334722222222222
AER ↔ KUF,19.695138888888888
AER ↔ NOZ,21.26493055555556
AER ↔ ROV,21.316666666666666
AER ↔ SVO,19.25
AER ↔ VKO,19.271875
ARH ↔ DME,19.06388888888889
ARH ↔ HMA,21.04722222222222
ARH ↔ NNM,20.372222222222224
ARH ↔ PEE,19.784375
ASF ↔ BAX,21.785416666666666
ASF ↔ DME,18.993055555555557
ASF ↔ SVO,18.98263888888889
BAX ↔ DME,20.272222222222222
BAX ↔ SVO,21.279166666666665
BAX ↔ VKO,20.906944444444445
BQS ↔ KHV,21.344444444444445
BTK ↔ DME,19.738888888888887
BZK ↔ DME,19.57847222222222
BZK ↔ EGO,19.729166666666668
BZK ↔ SVO,19.306944444444444
BZK ↔ VKO,20.259722222222223
CEK ↔ DME,18.894444444444446
CEK ↔ IKT,21.757638888888888
CEK ↔ PEE,19.69097222222222
CEK ↔ STW,21.182291666666668
CEK ↔ VOG,19.954166666666666
CNN ↔ DME,22.750694444444445
CSY ↔ LED,19.071527777777778
CSY ↔ NBC,19.378125
CSY ↔ SVO,18.948611111111113
CSY ↔ VKO,19.269444444444446
DME ↔ EGO,19.367361111111112
DME ↔ ESL,19.083333333333332
DME ↔ GDZ,20.441319444444446
DME ↔ GRV,19.34548611111111
DME ↔ HMA,18.711458333333333
DME ↔ KEJ,20.022222222222222
DME ↔ KGD,18.84861111111111
DME ↔ KHV,19.293055555555554
DME ↔ KRR,19.10763888888889
DME ↔ KUF,18.850694444444443
DME ↔ KVX,19.268055555555556
DME ↔ KZN,19.77951388888889
DME ↔ LED,18.38784722222222
DME ↔ MCX,18.97361111111111
DME ↔ MRV,18.945833333333333
DME ↔ NAL,19.427083333333332
DME ↔ NJC,18.815277777777776
DME ↔ NNM,19.746875
DME ↔ NSK,19.43402777777778
DME ↔ NUX,19.194444444444443
DME ↔ NYM,20.653125
DME ↔ OVB,19.209027777777777
DME ↔ OVS,19.9125
DME ↔ PES,18.974305555555553
DME ↔ PEZ,19.290277777777778
DME ↔ PKC,20.136111111111113
DME ↔ ROV,19.90763888888889
DME ↔ RTW,19.338194444444444
DME ↔ SCW,20.41423611111111
DME ↔ TBW,19.405555555555555
DME ↔ TOF,19.955902777777776
DME ↔ ULV,19.569444444444443
DME ↔ URJ,19.78263888888889
DME ↔ URS,18.687847222222224
DME ↔ UUA,20.094097222222224
DME ↔ UUS,18.986805555555556
DME ↔ VKT,19.74375
DME ↔ VOZ,19.198611111111113
DYR ↔ KHV,25.11215277777778
DYR ↔ SVO,23.59236111111111
ESL ↔ SVO,19.242361111111112
ESL ↔ UFA,19.00277777777778
GDZ ↔ SVO,20.464583333333334
GDZ ↔ VKO,20.55
GOJ ↔ LED,19.70277777777778
GOJ ↔ NAL,20.335416666666667
GOJ ↔ PEE,21.040625
