route,total_passengers,total_revenue,revenue_per_passenger
AAQ ↔ EGO,8610,68020200,7900.139372822299
AAQ ↔ SVO,10626,154633600,14552.380952380952
ABA ↔ DME,1955,88060900,45043.93861892583
ABA ↔ OVB,901,5225800,5800.0
ABA ↔ TOF,948,4645200,4900.0
AER ↔ EGO,387,3250800,8400.0
AER ↔ GOJ,410,5980000,14585.365853658537
AER ↔ KGP,212,7919500,37356.1320754717
AER ↔ KJA,1120,59557300,53176.16071428572
AER ↔ KUF,11614,185180900,15944.627174100224
AER ↔ NOZ,644,26872000,41726.70807453416
AER ↔ ROV,4957,26446900,5335.263264071011
AER ↔ SVO,29816,516307500,17316.457606654145
AER ↔ VKO,15656,271258900,17326.194430250383
ARH ↔ DME,3667,37340700,10182.901554404145
ARH ↔ HMA,919,13799600,15015.886833514689
ARH ↔ NNM,3928,26143900,6655.779022403259
ARH ↔ PEE,908,9988000,11000.0
ARH ↔ TJM,482,7525400,15612.863070539419
ARH ↔ TOF,494,12714000,25736.842105263157
ASF ↔ BAX,981,26090800,26596.12640163099
ASF ↔ DME,2081,26001200,12494.569918308505
ASF ↔ SVO,2163,28330900,13097.96578825705
BAX ↔ DME,1830,67362700,36810.21857923497
BAX ↔ SVO,1905,69738000,36607.87401574803
BAX ↔ VKO,1913,70901800,37063.14688970204
BQS ↔ KHV,4115,31036200,7542.21142162819
BTK ↔ DME,5397,283126900,52460.05188067445
BZK ↔ DME,9349,39964300,4274.7138731415125
BZK ↔ EGO,6147,25428000,4136.652025378234
BZK ↔ SVO,10543,48913900,4639.466944892346
BZK ↔ VKO,6615,27261900,4121.224489795918
CEE ↔ LED,209,919600,4400.0
CEE ↔ NOZ,187,6700700,35832.62032085562
CEK ↔ DME,7852,145912600,18582.857870606214
CEK ↔ IKT,911,31328600,34389.24259055982
CEK ↔ PEE,2674,11879100,4442.445774121167
CEK ↔ STW,854,15316800,17935.36299765808
CEK ↔ SWT,44,492800,11200.0
CEK ↔ VOG,7619,130674700,17151.16156975981
CNN ↔ DME,933,62548200,67039.87138263666
CNN ↔ MJZ,306,2662200,8700.0
CSY ↔ LED,6823,92883600,13613.307929063461
CSY ↔ NBC,3012,9405900,3122.808764940239
CSY ↔ SVO,7667,59342800,7740.028694404591
CSY ↔ VKO,2633,16726500,6352.6395746297
DME ↔ EGO,6156,41578700,6754.1747888239115
DME ↔ ESL,6590,90854500,13786.722306525038
DME ↔ GDZ,1362,16617000,12200.44052863436
DME ↔ GRV,1170,17196000,14697.435897435897
DME ↔ HMA,5660,135517400,23943.003533568906
DME ↔ KEJ,2243,83870600,37392.15336602764
DME ↔ KGD,7729,106481100,13776.827532669167
DME ↔ KHV,19013,1487276100,78224.16767474885
DME ↔ KRO,326,5648600,17326.993865030676
DME ↔ KRR,16618,245475300,14771.651221566975
DME ↔ KUF,13050,136111100,10429.969348659004
DME ↔ KVX,690,5313000,7700.0
DME ↔ KZN,14202,136811900,9633.284044500775
DME ↔ LED,19382,172852700,8918.207615313177
DME ↔ MCX,3410,53921000,15812.609970674486
DME ↔ MRV,9385,145286100,15480.671283963771
DME ↔ NAL,2283,31966400,14001.927288655279
DME ↔ NJC,3729,86832200,23285.652990077768
DME ↔ NNM,1124,17555500,15618.772241992883
DME ↔ NSK,7199,258964400,35972.27392693429
DME ↔ NUX,6423,190443500,29650.241320255333
DME ↔ NYM,1780,38949400,21881.685393258427
DME ↔ OVB,31305,1079722600,34490.42006069318
DME ↔ OVS,8106,164734700,20322.563533185294
DME ↔ PES,1380,10432400,7559.710144927536
DME ↔ PEZ,576,3052800,5300.0
DME ↔ PKC,2856,252158600,88290.82633053222
DME ↔ ROV,6166,75627200,12265.196237431073
DME ↔ RTW,2338,16490600,7053.293413173653
DME ↔ SCW,13394,173750600,12972.271166193817
DME ↔ TBW,888,3285600,3700.0
DME ↔ TOF,2404,86562500,36007.69550748752
DME ↔ ULV,8319,69752200,8384.685659334054
DME ↔ URJ,8035,168146900,20926.807716241445
DME ↔ URS,2074,10916400,5263.452266152362
DME ↔ USK,189,2989800,15819.047619047618
DME ↔ UUA,3122,29926000,9585.522101217168
DME ↔ UUS,4197,372617400,88781.84417441029
DME ↔ VKT,4189,80229400,19152.39914060635
DME ↔ VOZ,2191,9053900,4132.314011866728
DYR ↔ KHV,572,23166700,40501.22377622378
DYR ↔ SVO,546,44103100,80774.90842490843
ESL ↔ KGD,481,9270700,19273.804573804573
ESL ↔ LED,481,8521700,17716.63201663202
ESL ↔ SVO,639,7476300,11700.0
ESL ↔ UFA,5968,91348800,15306.434316353887
GDX ↔ MRV,414,37273900,90033.57487922705
GDX ↔ SCW,409,25395800,62092.42053789731
GDZ ↔ SVO,1365,17486300,12810.47619047619
GDZ ↔ VKO,663,8216100,12392.307692307691
GOJ ↔ LED,5357,59820700,11166.828448758633
GOJ ↔ NAL,1536,21855600,14228.90625
GOJ ↔ PEE,3230,30976300,9590.185758513931
GOJ ↔ SVO,8196,40833100,4982.076622742801
HMA ↔ NUX,624,4118400,6600.0
HMA ↔ SVX,4315,36065900,8358.261877172654
HMA ↔ VKO,2152,41901600,19471.00371747212
HTA ↔ NUX,2290,59298000,25894.323144104805
HTA ↔ UFA,721,36068600,50025.79750346741
IJK ↔ SVO,1442,14382800,9974.202496532595
IKT ↔ KZN,9800,465865200,47537.26530612245
IKT ↔ LED,13759,815653300,59281.43760447707
IKT ↔ MJZ,97,1246400,12849.484536082475
IKT ↔ VVO,860,19773000,22991.86046511628
KEJ ↔ SVO,2189,82649000,37756.50982183646
KEJ ↔ VKO,1108,44013500,39723.375451263535
