route,total_passengers,total_flights
AAQ ↔ EGO,8610,122
AAQ ↔ SVO,10626,122
ABA ↔ DME,1955,35
ABA ↔ OVB,901,244
ABA ↔ TOF,948,122
AER ↔ EGO,387,244
AER ↔ GOJ,410,52
AER ↔ KGP,212,17
AER ↔ KJA,1120,36
AER ↔ KUF,11614,122
AER ↔ NOZ,644,34
AER ↔ ROV,4957,244
AER ↔ SVO,29816,122
AER ↔ VKO,15656,122
ARH ↔ DME,3667,122
ARH ↔ HMA,919,36
ARH ↔ NNM,3928,122
ARH ↔ PEE,908,244
ARH ↔ TJM,482,53
ARH ↔ TOF,494,36
ASF ↔ BAX,981,34
ASF ↔ DME,2081,122
ASF ↔ SVO,2163,122
BAX ↔ DME,1830,52
BAX ↔ SVO,1905,35
BAX ↔ VKO,1913,52
BQS ↔ KHV,4115,122
BTK ↔ DME,5397,122
BZK ↔ DME,9349,366
BZK ↔ EGO,6147,122
BZK ↔ SVO,10543,366
BZK ↔ VKO,6615,366
CEE ↔ LED,209,244
CEE ↔ NOZ,187,17
CEK ↔ DME,7852,122
CEK ↔ IKT,911,35
CEK ↔ PEE,2674,122
CEK ↔ STW,854,53
CEK ↔ SWT,44,122
CEK ↔ VOG,7619,122
CNN ↔ DME,933,18
CNN ↔ MJZ,306,244
CSY ↔ LED,6823,122
CSY ↔ NBC,3012,122
CSY ↔ SVO,7667,122
CSY ↔ VKO,2633,122
DME ↔ EGO,6156,122
DME ↔ ESL,6590,122
DME ↔ GDZ,1362,52
DME ↔ GRV,1170,122
DME ↔ HMA,5660,122
DME ↔ KEJ,2243,53
DME ↔ KGD,7729,122
DME ↔ KHV,19013,122
DME ↔ KRO,326,54
DME ↔ KRR,16618,122
DME ↔ KUF,13050,122
DME ↔ KVX,690,122
DME ↔ KZN,14202,122
DME ↔ LED,19382,488
DME ↔ MCX,3410,122
DME ↔ MRV,9385,122
DME ↔ NAL,2283,122
DME ↔ NJC,3729,122
DME ↔ NNM,1124,52
DME ↔ NSK,7199,122
DME ↔ NUX,6423,122
DME ↔ NYM,1780,122
DME ↔ OVB,31305,122
DME ↔ OVS,8106,244
DME ↔ PES,1380,122
DME ↔ PEZ,576,244
DME ↔ PKC,2856,52
DME ↔ ROV,6166,244
DME ↔ RTW,2338,122
DME ↔ SCW,13394,122
DME ↔ TBW,888,244
DME ↔ TOF,2404,52
DME ↔ ULV,8319,122
DME ↔ URJ,8035,122
DME ↔ URS,2074,122
DME ↔ USK,189,18
DME ↔ UUA,3122,122
DME ↔ UUS,4197,122
DME ↔ VKT,4189,122
DME ↔ VOZ,2191,122
DYR ↔ KHV,572,17
DYR ↔ SVO,546,17
ESL ↔ KGD,481,35
ESL ↔ LED,481,35
ESL ↔ SVO,639,122
ESL ↔ UFA,5968,122
GDX ↔ MRV,414,18
GDX ↔ SCW,409,18
GDZ ↔ SVO,1365,53
GDZ ↔ VKO,663,52
GOJ ↔ LED,5357,122
GOJ ↔ NAL,1536,122
GOJ ↔ PEE,3230,122
GOJ ↔ SVO,8196,244
HMA ↔ NUX,624,244
HMA ↔ SVX,4315,122
HMA ↔ VKO,2152,122
HTA ↔ NUX,2290,122
HTA ↔ UFA,721,36
IJK ↔ SVO,1442,122
IKT ↔ KZN,9800,122
IKT ↔ LED,13759,122
IKT ↔ MJZ,97,122
IKT ↔ VVO,860,122
KEJ ↔ SVO,2189,34
KEJ ↔ VKO,1108,35
KGD ↔ KRR,500,36
KGD ↔ SVO,7971,122
KGP ↔ NUX,654,122
KHV ↔ LED,12766,122
KHV ↔ UIK,800,53
KHV ↔ UUS,594,244
KHV ↔ VVO,7893,122
KJA ↔ KRO,4184,122
KJA ↔ NOZ,188,244
KJA ↔ OVB,684,244
KJA ↔ OVS,5040,122
KJA ↔ SVO,9266,122
KLF ↔ LED,608,122
KRO ↔ SVO,340,36
KRO ↔ VKO,4184,122
KRR ↔ NOZ,186,17
KRR ↔ ULV,10342,122
KVX ↔ KZN,7951,122
KVX ↔ LED,8370,122
KVX ↔ OVB,8385,122
KVX ↔ SVO,8428,122
KXK ↔ SVX,767,35
KZN ↔ LED,3442,122
KZN ↔ MQF,1685,122
KZN ↔ MRV,195,34
KZN ↔ ROV,140,244
LED ↔ NJC,1201,122
LED ↔ NOJ,519,35
LED ↔ OVS,76,122
LED ↔ REN,880,122
LED ↔ SVO,31885,610
LED ↔ TBW,394,244
LED ↔ TJM,2002,122
LED ↔ VKO,21735,366
LED ↔ VOZ,745,122
LED ↔ YKS,1274,122
MCX ↔ MRV,7921,122
MCX ↔ SVO,11381,122
MJZ ↔ OVB,769,122
MJZ ↔ SVO,5923,122
MJZ ↔ SVX,11,34
MJZ ↔ YKS,3882,122
MMK ↔ SVO,4042,122
MMK ↔ VKO,1804,122
MQF ↔ OVB,1724,122
MQF ↔ SVX,4391,122
MQF ↔ VKO,2074,122
MRV ↔ PEE,5549,122
NBC ↔ OMS,411,34
NBC ↔ ROV,265,53
NBC ↔ SCW,676,244
NFG ↔ SVO,713,52
NFG ↔ VKO,215,36
NJC ↔ OVS,3740,122
NNM ↔ SVO,4455,122
NOJ ↔ NUX,847,244
NOJ ↔ SVO,1150,35
NOJ ↔ VKO,1061,52
NOZ ↔ OVB,9180,244
NSK ↔ SVX,7278,122
NUX ↔ SVO,4701,122
NYA ↔ SVO,243,18
NYM ↔ UUD,1430,53
OGZ ↔ SVO,3030,122
OGZ ↔ VKO,1767,122
OMS ↔ SVO,4746,122
OMS ↔ VKO,2399,122
OMS ↔ VKT,4061,122
OVB ↔ PEE,10049,122
OVB ↔ SGC,515,122
OVB ↔ SLY,3881,122
OVB ↔ SVO,25997,122
OVS ↔ SGC,4157,122
OVS ↔ SVO,4895,122
OVS ↔ UFA,177,122
PEE ↔ SVX,7274,244
PEE ↔ ULV,7991,122
PEE ↔ VKO,25946,122
PES ↔ SVO,1043,244
PES ↔ TJM,2988,122
PES ↔ VKO,3672,122
PEZ ↔ SVO,588,122
REN ↔ UFA,4294,122
REN ↔ UUA,4003,122
REN ↔ VKO,5668,122
RGK ↔ SVO,183,18
ROV ↔ SVO,11622,122
ROV ↔ VOG,6181,122
RTW ↔ ULY,799,244
RTW ↔ VKO,1197,122
SCW ↔ SVX,12198,122
SGC ↔ SVX,4629,122
SKX ↔ SVO,1521,122
SKX ↔ VKO,712,122
SLY ↔ VKO,1066,122
STW ↔ SVO,1694,122
STW ↔ VKO,822,53
SVO ↔ SVX,31312,122
SVO ↔ TJM,8195,122
SVO ↔ TOF,3959,122
SVO ↔ UFA,15942,122
SVO ↔ ULV,5809,244
SVO ↔ ULY,1071,122
SVO ↔ USK,188,18
SVO ↔ UUA,1636,122
SVO ↔ UUS,5178,122
SVO ↔ VKT,272,35
SVO ↔ VOG,8683,122
SVX ↔ UIK,800,36
TJM ↔ UCT,227,122
TJM ↔ URJ,8031,122
TOF ↔ VOG,589,18
UCT ↔ UFA,337,244
ULV ↔ VKO,4753,122
UUD ↔ VKO,737,52
VKO ↔ VOG,7101,122
VKO ↔ VVO,3547,122
