route,total_passengers
AAQ ↔ EGO,8610
AAQ ↔ SVO,10626
ABA ↔ DME,1955
ABA ↔ OVB,901
ABA ↔ TOF,948
AER ↔ EGO,387
AER ↔ GOJ,410
AER ↔ KGP,212
AER ↔ KJA,1120
AER ↔ KUF,11614
AER ↔ NOZ,644
AER ↔ ROV,4957
AER ↔ SVO,29816
AER ↔ VKO,15656
ARH ↔ DME,3667
ARH ↔ HMA,919
ARH ↔ NNM,3928
ARH ↔ PEE,908
ARH ↔ TJM,482
ARH ↔ TOF,494
ASF ↔ BAX,981
ASF ↔ DME,2081
ASF ↔ SVO,2163
BAX ↔ DME,1830
BAX ↔ SVO,1905
BAX ↔ VKO,1913
BQS ↔ KHV,4115
BTK ↔ DME,5397
BZK ↔ DME,9349
BZK ↔ EGO,6147
BZK ↔ SVO,10543
BZK ↔ VKO,6615
CEE ↔ LED,209
CEE ↔ NOZ,187
CEK ↔ DME,7852
CEK ↔ IKT,911
CEK ↔ PEE,2674
CEK ↔ STW,854
CEK ↔ SWT,44
CEK ↔ VOG,7619
CNN ↔ DME,933
CNN ↔ MJZ,306
CSY ↔ LED,6823
CSY ↔ NBC,3012
CSY ↔ SVO,7667
CSY ↔ VKO,2633
DME ↔ EGO,6156
DME ↔ ESL,6590
DME ↔ GDZ,1362
DME ↔ GRV,1170
DME ↔ HMA,5660
DME ↔ KEJ,2243
DME ↔ KGD,7729
DME ↔ KHV,19013
DME ↔ KRO,326
DME ↔ KRR,16618
DME ↔ KUF,13050
DME ↔ KVX,690
DME ↔ KZN,14202
DME ↔ LED,19382
DME ↔ MCX,3410
DME ↔ MRV,9385
DME ↔ NAL,2283
DME ↔ NJC,3729
DME ↔ NNM,1124
DME ↔ NSK,7199
DME ↔ NUX,6423
DME ↔ NYM,1780
DME ↔ OVB,31305
DME ↔ OVS,8106
DME ↔ PES,1380
DME ↔ PEZ,576
DME ↔ PKC,2856
DME ↔ ROV,6166
DME ↔ RTW,2338
DME ↔ SCW,13394
DME ↔ TBW,888
DME ↔ TOF,2404
DME ↔ ULV,8319
DME ↔ URJ,8035
DME ↔ URS,2074
DME ↔ USK,189
DME ↔ UUA,3122
DME ↔ UUS,4197
DME ↔ VKT,4189
DME ↔ VOZ,2191
DYR ↔ KHV,572
DYR ↔ SVO,546
ESL ↔ KGD,481
ESL ↔ LED,481
ESL ↔ SVO,639
ESL ↔ UFA,5968
GDX ↔ MRV,414
GDX ↔ SCW,409
GDZ ↔ SVO,1365
GDZ ↔ VKO,663
GOJ ↔ LED,5357
GOJ ↔ NAL,1536
GOJ ↔ PEE,3230
GOJ ↔ SVO,8196
HMA ↔ NUX,624
HMA ↔ SVX,4315
HMA ↔ VKO,2152
HTA ↔ NUX,2290
HTA ↔ UFA,721
IJK ↔ SVO,1442
IKT ↔ KZN,9800
IKT ↔ LED,13759
IKT ↔ MJZ,97
IKT ↔ VVO,860
KEJ ↔ SVO,2189
KEJ ↔ VKO,1108
KGD ↔ KRR,500
KGD ↔ SVO,7971
KGP ↔ NUX,654
KHV ↔ LED,12766
KHV ↔ UIK,800
KHV ↔ UUS,594
KHV ↔ VVO,7893
KJA ↔ KRO,4184
KJA ↔ NOZ,188
KJA ↔ OVB,684
KJA ↔ OVS,5040
KJA ↔ SVO,9266
KLF ↔ LED,608
KRO ↔ SVO,340
KRO ↔ VKO,4184
KRR ↔ NOZ,186
KRR ↔ ULV,10342
KVX ↔ KZN,7951
KVX ↔ LED,8370
KVX ↔ OVB,8385
KVX ↔ SVO,8428
KXK ↔ SVX,767
KZN ↔ LED,3442
KZN ↔ MQF,1685
KZN ↔ MRV,195
KZN ↔ ROV,140
LED ↔ NJC,1201
LED ↔ NOJ,519
LED ↔ OVS,76
LED ↔ REN,880
LED ↔ SVO,31885
LED ↔ TBW,394
LED ↔ TJM,2002
LED ↔ VKO,21735
LED ↔ VOZ,745
LED ↔ YKS,1274
MCX ↔ MRV,7921
MCX ↔ SVO,11381
MJZ ↔ OVB,769
MJZ ↔ SVO,5923
MJZ ↔ SVX,11
MJZ ↔ YKS,3882
MMK ↔ SVO,4042
MMK ↔ VKO,1804
MQF ↔ OVB,1724
MQF ↔ SVX,4391
MQF ↔ VKO,2074
MRV ↔ PEE,5549
NBC ↔ OMS,411
NBC ↔ ROV,265
NBC ↔ SCW,676
NFG ↔ SVO,713
NFG ↔ VKO,215
NJC ↔ OVS,3740
NNM ↔ SVO,4455
NOJ ↔ NUX,847
NOJ ↔ SVO,1150
NOJ ↔ VKO,1061
NOZ ↔ OVB,9180
NSK ↔ SVX,7278
NUX ↔ SVO,4701
NYA ↔ SVO,243
NYM ↔ UUD,1430
OGZ ↔ SVO,3030
OGZ ↔ VKO,1767
OMS ↔ SVO,4746
OMS ↔ VKO,2399
OMS ↔ VKT,4061
OVB ↔ PEE,10049
OVB ↔ SGC,515
OVB ↔ SLY,3881
OVB ↔ SVO,25997
OVS ↔ SGC,4157
OVS ↔ SVO,4895
OVS ↔ UFA,177
PEE ↔ SVX,7274
PEE ↔ ULV,7991
PEE ↔ VKO,25946
PES ↔ SVO,1043
PES ↔ TJM,2988
PES ↔ VKO,3672
PEZ ↔ SVO,588
REN ↔ UFA,4294
REN ↔ UUA,4003
REN ↔ VKO,5668
RGK ↔ SVO,183
ROV ↔ SVO,11622
ROV ↔ VOG,6181
RTW ↔ ULY,799
RTW ↔ VKO,1197
SCW ↔ SVX,12198
SGC ↔ SVX,4629
SKX ↔ SVO,1521
