route,economy_tickets,comfort_tickets,business_tickets,total_tickets,economy_share,comfort_share,business_share
AAQ <-> EGO,7537,0,1073,8610,87.53774680603948,0.0,12.46225319396051
AAQ <-> SVO,9626,0,1000,10626,90.58912102390363,0.0,9.410878976096368
ABA <-> DME,1629,0,326,1955,83.32480818414322,0.0,16.675191815856778
ABA <-> OVB,901,0,0,901,100.0,0.0,0.0
ABA <-> TOF,948,0,0,948,100.0,0.0,0.0
AER <-> EGO,387,0,0,387,100.0,0.0,0.0
AER <-> GOJ,410,0,0,410,100.0,0.0,0.0
AER <-> KGP,189,0,23,212,89.15094339622641,0.0,10.849056603773585
AER <-> KJA,920,0,200,1120,82.14285714285714,0.0,17.857142857142858
AER <-> KUF,10543,0,1071,11614,90.77837093163423,0.0,9.221629068365765
AER <-> NOZ,590,0,54,644,91.61490683229813,0.0,8.385093167701864
AER <-> ROV,4310,0,647,4957,86.94775065563849,0.0,13.052249344361508
AER <-> SVO,24005,3608,2203,29816,80.51046418030587,12.100885430641267,7.388650389052858
AER <-> VKO,13549,0,2107,15656,86.54190086867655,0.0,13.458099131323454
ARH <-> DME,3667,0,0,3667,100.0,0.0,0.0
ARH <-> HMA,919,0,0,919,100.0,0.0,0.0
ARH <-> NNM,3928,0,0,3928,100.0,0.0,0.0
ARH <-> PEE,908,0,0,908,100.0,0.0,0.0
ARH <-> TJM,482,0,0,482,100.0,0.0,0.0
ARH <-> TOF,494,0,0,494,100.0,0.0,0.0
ASF <-> BAX,981,0,0,981,100.0,0.0,0.0
ASF <-> DME,2081,0,0,2081,100.0,0.0,0.0
ASF <-> SVO,2163,0,0,2163,100.0,0.0,0.0
BAX <-> DME,1592,0,238,1830,86.99453551912568,0.0,13.005464480874318
BAX <-> SVO,1669,0,236,1905,87.61154855643044,0.0,12.388451443569554
BAX <-> VKO,1669,0,244,1913,87.24516466283325,0.0,12.754835337166753
BQS <-> KHV,3597,0,518,4115,87.41190765492102,0.0,12.58809234507898
BTK <-> DME,4411,0,986,5397,81.73059106911246,0.0,18.26940893088753
BZK <-> DME,8192,0,1157,9349,87.62434484971655,0.0,12.375655150283453
BZK <-> EGO,5383,0,764,6147,87.5711729298845,0.0,12.428827070115503
BZK <-> SVO,9235,0,1308,10543,87.59366404249265,0.0,12.406335957507352
BZK <-> VKO,5808,0,807,6615,87.80045351473923,0.0,12.19954648526077
CEE <-> LED,209,0,0,209,100.0,0.0,0.0
CEE <-> NOZ,169,0,18,187,90.37433155080214,0.0,9.62566844919786
CEK <-> DME,6872,0,980,7852,87.51910341314316,0.0,12.480896586856852
CEK <-> IKT,808,0,103,911,88.69374313940725,0.0,11.306256860592754
CEK <-> PEE,2674,0,0,2674,100.0,0.0,0.0
CEK <-> STW,854,0,0,854,100.0,0.0,0.0
CEK <-> SWT,44,0,0,44,100.0,0.0,0.0
CEK <-> VOG,6683,0,936,7619,87.71492321827012,0.0,12.285076781729884
CNN <-> DME,777,0,156,933,83.27974276527331,0.0,16.720257234726688
CNN <-> MJZ,306,0,0,306,100.0,0.0,0.0
CSY <-> LED,5986,0,837,6823,87.73266891396746,0.0,12.267331086032538
CSY <-> NBC,3012,0,0,3012,100.0,0.0,0.0
CSY <-> SVO,6727,0,940,7667,87.73966349289162,0.0,12.260336507108386
CSY <-> VKO,2633,0,0,2633,100.0,0.0,0.0
DME <-> EGO,5392,0,764,6156,87.5893437296946,0.0,12.410656270305392
DME <-> ESL,5772,0,818,6590,87.58725341426403,0.0,12.412746585735963
DME <-> GDZ,1362,0,0,1362,100.0,0.0,0.0
DME <-> GRV,1170,0,0,1170,100.0,0.0,0.0
DME <-> HMA,4956,0,704,5660,87.5618374558304,0.0,12.438162544169613
DME <-> KEJ,1967,0,276,2243,87.6950512706197,0.0,12.304948729380294
DME <-> KGD,6773,0,956,7729,87.63100012938284,0.0,12.368999870617156
DME <-> KHV,16462,0,2551,19013,86.58286435596698,0.0,13.41713564403303
DME <-> KRO,326,0,0,326,100.0,0.0,0.0
DME <-> KRR,14366,0,2252,16618,86.44842941388855,0.0,13.551570586111444
DME <-> KUF,11289,0,1761,13050,86.50574712643679,0.0,13.494252873563218
DME <-> KVX,690,0,0,690,100.0,0.0,0.0
DME <-> KZN,11834,0,2368,14202,83.32629207153921,0.0,16.67370792846078
DME <-> LED,16211,0,3171,19382,83.63945929212672,0.0,16.360540707873284
DME <-> MCX,3410,0,0,3410,100.0,0.0,0.0
DME <-> MRV,8508,0,877,9385,90.6553010122536,0.0,9.344698987746405
DME <-> NAL,2283,0,0,2283,100.0,0.0,0.0
DME <-> NJC,3729,0,0,3729,100.0,0.0,0.0
DME <-> NNM,1124,0,0,1124,100.0,0.0,0.0
DME <-> NSK,6304,0,895,7199,87.5677177385748,0.0,12.432282261425199
DME <-> NUX,5597,0,826,6423,87.13996574809279,0.0,12.86003425190721
DME <-> NYM,1780,0,0,1780,100.0,0.0,0.0
DME <-> OVB,25235,3719,2351,31305,80.61012617792684,11.879891391151572,7.5099824309215775
DME <-> OVS,7100,0,1006,8106,87.58943992104614,0.0,12.41056007895386
DME <-> PES,1380,0,0,1380,100.0,0.0,0.0
DME <-> PEZ,576,0,0,576,100.0,0.0,0.0
DME <-> PKC,2429,0,427,2856,85.04901960784314,0.0,14.950980392156863
DME <-> ROV,5155,0,1011,6166,83.6036328251703,0.0,16.396367174829713
DME <-> RTW,2338,0,0,2338,100.0,0.0,0.0
DME <-> SCW,11597,0,1797,13394,86.5835448708377,0.0,13.41645512916231
DME <-> TBW,888,0,0,888,100.0,0.0,0.0
DME <-> TOF,2115,0,289,2404,87.9783693843594,0.0,12.0216306156406
DME <-> ULV,7303,0,1016,8319,87.78699362904196,0.0,12.213006370958048
DME <-> URJ,7035,0,1000,8035,87.55444928438084,0.0,12.445550715619166
DME <-> URS,1817,0,257,2074,87.60848601735776,0.0,12.391513982642238
DME <-> USK,189,0,0,189,100.0,0.0,0.0
DME <-> UUA,3122,0,0,3122,100.0,0.0,0.0
DME <-> UUS,3506,0,691,4197,83.53585894686681,0.0,16.46414105313319
DME <-> VKT,4189,0,0,4189,100.0,0.0,0.0
DME <-> VOZ,2191,0,0,2191,100.0,0.0,0.0
DYR <-> KHV,482,0,90,572,84.26573426573427,0.0,15.734265734265735
DYR <-> SVO,463,0,83,546,84.7985347985348,0.0,15.2014652014652
ESL <-> KGD,481,0,0,481,100.0,0.0,0.0
ESL <-> LED,481,0,0,481,100.0,0.0,0.0
ESL <-> SVO,639,0,0,639,100.0,0.0,0.0
ESL <-> UFA,5223,0,745,5968,87.51675603217159,0.0,12.483243967828418
GDX <-> MRV,344,0,70,414,83.09178743961353,0.0,16.908212560386474
GDX <-> SCW,354,0,55,409,86.55256723716381,0.0,13.447432762836186
GDZ <-> SVO,1365,0,0,1365,100.0,0.0,0.0
GDZ <-> VKO,663,0,0,663,100.0,0.0,0.0
GOJ <-> LED,4684,0,673,5357,87.4369983199552,0.0,12.563001680044803
GOJ <-> NAL,1536,0,0,1536,100.0,0.0,0.0
GOJ <-> PEE,2819,0,411,3230,87.27554179566563,0.0,12.724458204334365
GOJ <-> SVO,7199,0,997,8196,87.83552952659835,0.0,12.164470473401659
HMA <-> NUX,624,0,0,624,100.0,0.0,0.0
HMA <-> SVX,3797,0,518,4315,87.99536500579374,0.0,12.004634994206258
HMA <-> VKO,2152,0,0,2152,100.0,0.0,0.0
HTA <-> NUX,2290,0,0,2290,100.0,0.0,0.0
