route,total_tickets,average_revenue_per_ticket,segment
LED <-> SVO,31885,7994.329622079347,High Demand / Low Fare
BZK <-> SVO,10543,4639.466944892346,High Demand / Low Fare
BZK <-> DME,9349,4274.7138731415125,High Demand / Low Fare
NOZ <-> OVB,9180,3763.5729847494554,High Demand / Low Fare
AAQ <-> EGO,8610,7900.139372822299,High Demand / Low Fare
DME <-> ULV,8319,8384.685659334054,High Demand / Low Fare
GOJ <-> SVO,8196,4982.076622742801,High Demand / Low Fare
TJM <-> URJ,8031,4134.578508280413,High Demand / Low Fare
PEE <-> ULV,7991,7902.1524214741585,High Demand / Low Fare
KVX <-> KZN,7951,4007.6342598415295,High Demand / Low Fare
MCX <-> MRV,7921,5015.932331776291,High Demand / Low Fare
KHV <-> VVO,7893,7754.998099581908,High Demand / Low Fare
CSY <-> SVO,7667,7740.028694404591,High Demand / Low Fare
PEE <-> SVX,7274,4017.3494638438274,High Demand / Low Fare
BZK <-> VKO,6615,4121.224489795918,High Demand / Low Fare
GDX <-> MRV,414,90033.57487922705,Low Demand / High Fare
DYR <-> SVO,546,80774.90842490843,Low Demand / High Fare
GDX <-> SCW,409,62092.42053789731,Low Demand / High Fare
KXK <-> SVX,767,61908.865710560625,Low Demand / High Fare
UUD <-> VKO,737,59465.94301221167,Low Demand / High Fare
HTA <-> UFA,721,50025.79750346741,Low Demand / High Fare
KRR <-> NOZ,186,42129.032258064515,Low Demand / High Fare
AER <-> NOZ,644,41726.70807453416,Low Demand / High Fare
DYR <-> KHV,572,40501.22377622378,Low Demand / High Fare
MJZ <-> SVX,11,40500.0,Low Demand / High Fare
RGK <-> SVO,183,39592.89617486339,Low Demand / High Fare
AER <-> KGP,212,37356.1320754717,Low Demand / High Fare
TOF <-> VOG,589,36151.44312393888,Low Demand / High Fare
CEE <-> NOZ,187,35832.62032085562,Low Demand / High Fare
ARH <-> TOF,494,25736.842105263157,Low Demand / High Fare
LED <-> NOJ,519,23775.7225433526,Low Demand / High Fare
