route,total_flights,delayed_flights,cancelled_flights,delay_rate,cancellation_rate
AAQ ↔ EGO,122,0,1,0.0,0.819672131147541
AAQ ↔ SVO,122,0,1,0.0,0.819672131147541
ABA ↔ OVB,244,1,2,0.4098360655737705,0.819672131147541
ABA ↔ TOF,122,0,2,0.0,1.639344262295082
AER ↔ EGO,244,1,2,0.4098360655737705,0.819672131147541
AER ↔ KUF,122,1,0,0.819672131147541,0.0
AER ↔ PEZ,122,0,2,0.0,1.639344262295082
AER ↔ ROV,244,0,0,0.0,0.0
AER ↔ SVO,122,0,0,0.0,0.0
AER ↔ VKO,122,0,0,0.0,0.0
ARH ↔ DME,122,0,1,0.0,0.819672131147541
ARH ↔ NNM,122,0,2,0.0,1.639344262295082
ARH ↔ PEE,244,1,2,0.4098360655737705,0.819672131147541
ASF ↔ DME,122,0,2,0.0,1.639344262295082
ASF ↔ SVO,122,0,2,0.0,1.639344262295082
BAX ↔ KJA,122,0,2,0.0,1.639344262295082
BQS ↔ KHV,122,0,1,0.0,0.819672131147541
BTK ↔ DME,122,0,1,0.0,0.819672131147541
BZK ↔ DME,366,2,2,0.546448087431694,0.546448087431694
BZK ↔ EGO,122,0,2,0.0,1.639344262295082
BZK ↔ SVO,366,1,1,0.273224043715847,0.273224043715847
BZK ↔ VKO,366,0,1,0.0,0.273224043715847
CEE ↔ LED,244,0,2,0.0,0.819672131147541
CEK ↔ DME,122,1,1,0.819672131147541,0.819672131147541
CEK ↔ PEE,122,0,0,0.0,0.0
CEK ↔ SGC,244,0,2,0.0,0.819672131147541
CEK ↔ SWT,122,0,1,0.0,0.819672131147541
CEK ↔ VOG,122,0,1,0.0,0.819672131147541
CNN ↔ MJZ,244,0,2,0.0,0.819672131147541
CSY ↔ LED,122,1,1,0.819672131147541,0.819672131147541
CSY ↔ NBC,122,0,1,0.0,0.819672131147541
CSY ↔ SVO,122,0,0,0.0,0.0
CSY ↔ VKO,122,0,1,0.0,0.819672131147541
CSY ↔ VOG,122,0,1,0.0,0.819672131147541
DME ↔ EGO,122,0,1,0.0,0.819672131147541
DME ↔ ESL,122,0,1,0.0,0.819672131147541
DME ↔ GRV,122,0,2,0.0,1.639344262295082
DME ↔ HMA,122,0,1,0.0,0.819672131147541
DME ↔ JOK,122,0,1,0.0,0.819672131147541
DME ↔ KGD,122,0,2,0.0,1.639344262295082
DME ↔ KHV,122,0,0,0.0,0.0
DME ↔ KRR,122,0,0,0.0,0.0
DME ↔ KUF,122,0,0,0.0,0.0
DME ↔ KVX,122,1,2,0.819672131147541,1.639344262295082
DME ↔ KZN,122,0,1,0.0,0.819672131147541
DME ↔ LED,488,1,0,0.20491803278688525,0.0
DME ↔ MCX,122,1,2,0.819672131147541,1.639344262295082
DME ↔ MRV,122,0,0,0.0,0.0
DME ↔ NAL,122,1,2,0.819672131147541,1.639344262295082
DME ↔ NJC,122,0,1,0.0,0.819672131147541
DME ↔ NSK,122,0,2,0.0,1.639344262295082
DME ↔ NUX,122,1,2,0.819672131147541,1.639344262295082
DME ↔ NYM,122,0,1,0.0,0.819672131147541
DME ↔ OVB,122,0,0,0.0,0.0
DME ↔ OVS,244,0,0,0.0,0.0
DME ↔ PES,122,0,2,0.0,1.639344262295082
DME ↔ PEZ,244,0,2,0.0,0.819672131147541
DME ↔ ROV,244,1,0,0.4098360655737705,0.0
DME ↔ RTW,122,0,1,0.0,0.819672131147541
DME ↔ SCW,122,0,0,0.0,0.0
DME ↔ TBW,244,0,2,0.0,0.819672131147541
DME ↔ ULV,122,0,2,0.0,1.639344262295082
DME ↔ URJ,122,0,1,0.0,0.819672131147541
DME ↔ URS,122,0,1,0.0,0.819672131147541
DME ↔ UUA,122,0,2,0.0,1.639344262295082
DME ↔ UUS,122,0,2,0.0,1.639344262295082
DME ↔ VKT,122,1,2,0.819672131147541,1.639344262295082
DME ↔ VOZ,122,0,2,0.0,1.639344262295082
EGO ↔ ROV,122,0,2,0.0,1.639344262295082
ESL ↔ REN,122,0,2,0.0,1.639344262295082
ESL ↔ SVO,122,0,2,0.0,1.639344262295082
ESL ↔ UFA,122,0,1,0.0,0.819672131147541
GOJ ↔ LED,122,0,0,0.0,0.0
GOJ ↔ NAL,122,0,0,0.0,0.0
GOJ ↔ PEE,122,0,2,0.0,1.639344262295082
GOJ ↔ SVO,244,0,0,0.0,0.0
HMA ↔ KVX,122,1,2,0.819672131147541,1.639344262295082
HMA ↔ NUX,244,0,2,0.0,0.819672131147541
HMA ↔ OVB,244,0,2,0.0,0.819672131147541
HMA ↔ SVX,122,0,0,0.0,0.0
HMA ↔ VKO,122,1,2,0.819672131147541,1.639344262295082
HTA ↔ NUX,122,0,2,0.0,1.639344262295082
IAR ↔ LED,122,0,2,0.0,1.639344262295082
IJK ↔ SVO,122,0,1,0.0,0.819672131147541
IKT ↔ KZN,122,1,1,0.819672131147541,0.819672131147541
IKT ↔ LED,122,1,1,0.819672131147541,0.819672131147541
IKT ↔ MJZ,122,0,2,0.0,1.639344262295082
IKT ↔ SGC,122,1,1,0.819672131147541,0.819672131147541
IKT ↔ VVO,122,0,2,0.0,1.639344262295082
JOK ↔ SVO,122,0,2,0.0,1.639344262295082
JOK ↔ VKO,244,0,2,0.0,0.819672131147541
KGD ↔ SVO,122,0,1,0.0,0.819672131147541
