route,total_tickets,business_tickets,total_revenue,average_revenue_per_ticket
AAQ <-> EGO,8610,1073,68020200,7900.139372822299
AAQ <-> SVO,10626,1000,154633600,14552.380952380952
ABA <-> DME,1955,326,88060900,45043.93861892583
ABA <-> OVB,901,0,5225800,5800.0
ABA <-> TOF,948,0,4645200,4900.0
AER <-> EGO,387,0,3250800,8400.0
AER <-> GOJ,410,0,5980000,14585.365853658537
AER <-> KGP,212,23,7919500,37356.1320754717
AER <-> KJA,1120,200,59557300,53176.16071428572
AER <-> KUF,11614,1071,185180900,15944.627174100224
AER <-> NOZ,644,54,26872000,41726.70807453416
AER <-> ROV,4957,647,26446900,5335.263264071011
AER <-> SVO,29816,2203,516307500,17316.457606654145
AER <-> VKO,15656,2107,271258900,17326.194430250383
ARH <-> DME,3667,0,37340700,10182.901554404145
ARH <-> HMA,919,0,13799600,15015.886833514689
ARH <-> NNM,3928,0,26143900,6655.779022403259
ARH <-> PEE,908,0,9988000,11000.0
ARH <-> TJM,482,0,7525400,15612.863070539419
ARH <-> TOF,494,0,12714000,25736.842105263157
ASF <-> BAX,981,0,26090800,26596.12640163099
ASF <-> DME,2081,0,26001200,12494.569918308505
ASF <-> SVO,2163,0,28330900,13097.96578825705
BAX <-> DME,1830,238,67362700,36810.21857923497
BAX <-> SVO,1905,236,69738000,36607.87401574803
BAX <-> VKO,1913,244,70901800,37063.14688970204
BQS <-> KHV,4115,518,31036200,7542.21142162819
BTK <-> DME,5397,986,283126900,52460.05188067445
BZK <-> DME,9349,1157,39964300,4274.7138731415125
BZK <-> EGO,6147,764,25428000,4136.652025378234
BZK <-> SVO,10543,1308,48913900,4639.466944892346
BZK <-> VKO,6615,807,27261900,4121.224489795918
CEE <-> LED,209,0,919600,4400.0
CEE <-> NOZ,187,18,6700700,35832.62032085562
CEK <-> DME,7852,980,145912600,18582.857870606214
CEK <-> IKT,911,103,31328600,34389.24259055982
CEK <-> PEE,2674,0,11879100,4442.445774121167
CEK <-> STW,854,0,15316800,17935.36299765808
CEK <-> SWT,44,0,492800,11200.0
CEK <-> VOG,7619,936,130674700,17151.16156975981
CNN <-> DME,933,156,62548200,67039.87138263666
CNN <-> MJZ,306,0,2662200,8700.0
CSY <-> LED,6823,837,92883600,13613.307929063461
CSY <-> NBC,3012,0,9405900,3122.808764940239
CSY <-> SVO,7667,940,59342800,7740.028694404591
CSY <-> VKO,2633,0,16726500,6352.6395746297
DME <-> EGO,6156,764,41578700,6754.1747888239115
DME <-> ESL,6590,818,90854500,13786.722306525038
DME <-> GDZ,1362,0,16617000,12200.44052863436
DME <-> GRV,1170,0,17196000,14697.435897435897
DME <-> HMA,5660,704,135517400,23943.003533568906
DME <-> KEJ,2243,276,83870600,37392.15336602764
DME <-> KGD,7729,956,106481100,13776.827532669167
DME <-> KHV,19013,2551,1487276100,78224.16767474885
DME <-> KRO,326,0,5648600,17326.993865030676
DME <-> KRR,16618,2252,245475300,14771.651221566975
DME <-> KUF,13050,1761,136111100,10429.969348659004
DME <-> KVX,690,0,5313000,7700.0
DME <-> KZN,14202,2368,136811900,9633.284044500775
DME <-> LED,19382,3171,172852700,8918.207615313177
DME <-> MCX,3410,0,53921000,15812.609970674486
DME <-> MRV,9385,877,145286100,15480.671283963771
DME <-> NAL,2283,0,31966400,14001.927288655279
DME <-> NJC,3729,0,86832200,23285.652990077768
DME <-> NNM,1124,0,17555500,15618.772241992883
DME <-> NSK,7199,895,258964400,35972.27392693429
DME <-> NUX,6423,826,190443500,29650.241320255333
DME <-> NYM,1780,0,38949400,21881.685393258427
DME <-> OVB,31305,2351,1079722600,34490.42006069318
DME <-> OVS,8106,1006,164734700,20322.563533185294
DME <-> PES,1380,0,10432400,7559.710144927536
DME <-> PEZ,576,0,3052800,5300.0
DME <-> PKC,2856,427,252158600,88290.82633053222
DME <-> ROV,6166,1011,75627200,12265.196237431073
DME <-> RTW,2338,0,16490600,7053.293413173653
DME <-> SCW,13394,1797,173750600,12972.271166193817
DME <-> TBW,888,0,3285600,3700.0
DME <-> TOF,2404,289,86562500,36007.69550748752
DME <-> ULV,8319,1016,69752200,8384.685659334054
DME <-> URJ,8035,1000,168146900,20926.807716241445
DME <-> URS,2074,257,10916400,5263.452266152362
DME <-> USK,189,0,2989800,15819.047619047618
DME <-> UUA,3122,0,29926000,9585.522101217168
DME <-> UUS,4197,691,372617400,88781.84417441029
DME <-> VKT,4189,0,80229400,19152.39914060635
DME <-> VOZ,2191,0,9053900,4132.314011866728
DYR <-> KHV,572,90,23166700,40501.22377622378
DYR <-> SVO,546,83,44103100,80774.90842490843
ESL <-> KGD,481,0,9270700,19273.804573804573
ESL <-> LED,481,0,8521700,17716.63201663202
ESL <-> SVO,639,0,7476300,11700.0
ESL <-> UFA,5968,745,91348800,15306.434316353887
GDX <-> MRV,414,70,37273900,90033.57487922705
GDX <-> SCW,409,55,25395800,62092.42053789731
GDZ <-> SVO,1365,0,17486300,12810.47619047619
GDZ <-> VKO,663,0,8216100,12392.307692307691
GOJ <-> LED,5357,673,59820700,11166.828448758633
GOJ <-> NAL,1536,0,21855600,14228.90625
GOJ <-> PEE,3230,411,30976300,9590.185758513931
GOJ <-> SVO,8196,997,40833100,4982.076622742801
HMA <-> NUX,624,0,4118400,6600.0
HMA <-> SVX,4315,518,36065900,8358.261877172654
HMA <-> VKO,2152,0,41901600,19471.00371747212
HTA <-> NUX,2290,0,59298000,25894.323144104805
HTA <-> UFA,721,123,36068600,50025.79750346741
IJK <-> SVO,1442,0,14382800,9974.202496532595
IKT <-> KZN,9800,1682,465865200,47537.26530612245
IKT <-> LED,13759,2278,815653300,59281.43760447707
IKT <-> MJZ,97,0,1246400,12849.484536082475
IKT <-> VVO,860,0,19773000,22991.86046511628
KEJ <-> SVO,2189,281,82649000,37756.50982183646
KEJ <-> VKO,1108,173,44013500,39723.375451263535
KGD <-> KRR,500,0,8607800,17215.6
KGD <-> SVO,7971,725,101077200,12680.617237485887
KGP <-> NUX,654,0,2877600,4400.0
KHV <-> LED,12766,1699,1006423100,78836.21337928873
KHV <-> UIK,800,0,19179200,23974.0
KHV <-> UUS,594,0,3504600,5900.0
KHV <-> VVO,7893,978,61210200,7754.998099581908
KJA <-> KRO,4184,0,70862400,16936.520076481836
KJA <-> NOZ,188,0,827200,4400.0
KJA <-> OVB,684,0,4309200,6300.0
KJA <-> OVS,5040,630,110133000,21851.785714285714
KJA <-> SVO,9266,1606,416379800,44936.304770127346
KLF <-> LED,608,0,4195200,6900.0
KRO <-> SVO,340,0,5953800,17511.176470588234
KRO <-> VKO,4184,0,74250400,17746.271510516253
KRR <-> NOZ,186,18,7836000,42129.032258064515
KRR <-> ULV,10342,1360,158685400,15343.782633919938
KVX <-> KZN,7951,969,31864700,4007.6342598415295
KVX <-> LED,8370,1029,114229000,13647.431302270012
KVX <-> OVB,8385,1048,214826500,25620.333929636254
KVX <-> SVO,8428,1047,81365800,9654.22401518747
KXK <-> SVX,767,109,47484100,61908.865710560625
KZN <-> LED,3442,424,52522400,15259.267867518884
KZN <-> MQF,1685,0,11205000,6649.851632047477
KZN <-> MRV,195,0,2639000,13533.333333333334
KZN <-> ROV,140,0,1582000,11300.0
LED <-> NJC,1201,0,30132400,25089.425478767695
LED <-> NOJ,519,0,12339600,23775.7225433526
LED <-> OVS,76,0,1390000,18289.473684210527
LED <-> REN,880,0,15874400,18039.090909090908
LED <-> SVO,31885,5186,254899200,7994.329622079347
LED <-> TBW,394,0,4097600,10400.0
LED <-> TJM,2002,0,41012300,20485.664335664336
LED <-> VKO,21735,3559,182319800,8388.304577869796
LED <-> VOZ,745,0,7895500,10597.986577181207
LED <-> YKS,1274,219,83088500,65218.602825745686
MCX <-> MRV,7921,984,39731200,5015.932331776291
MCX <-> SVO,11381,1038,221423000,19455.49600210878
MJZ <-> OVB,769,0,15242400,19821.06631989597
MJZ <-> SVO,5923,557,293191600,49500.523383420565
MJZ <-> SVX,11,2,445500,40500.0
MJZ <-> YKS,3882,0,31693800,8164.296754250387
MMK <-> SVO,4042,516,73427700,18166.180108857003
MMK <-> VKO,1804,0,26919700,14922.228381374724
