flight_id,departure_airport,arrival_airport,aircraft_code,passengers,total_seats,utilization,route
1185,DME,BTK,319,2.0,116,1.7241379310344827,BTK ↔ DME
3979,VKO,HMA,CR2,28.0,50,56.00000000000001,HMA ↔ VKO
4739,VKO,AER,763,41.0,222,18.46846846846847,AER ↔ VKO
5502,SVO,UFA,763,9.0,222,4.054054054054054,SVO ↔ UFA
6938,SVO,ULV,SU9,15.0,97,15.463917525773196,SVO ↔ ULV
7784,SVO,KRO,CR2,,50,,KRO ↔ SVO
9478,LED,REN,CR2,9.0,50,18.0,LED ↔ REN
11085,SVX,SCW,733,130.0,130,100.0,SCW ↔ SVX
11847,KZN,IKT,319,14.0,116,12.068965517241379,IKT ↔ KZN
12012,KZN,MQF,CR2,16.0,50,32.0,KZN ↔ MQF
13113,ROV,KZN,CN1,,12,,KZN ↔ ROV
14806,PEE,CEK,CR2,,50,,CEK ↔ PEE
16837,JOK,VKO,CN1,,12,,JOK ↔ VKO
17173,SCW,NBC,CN1,,12,,NBC ↔ SCW
19807,MJZ,CNN,CN1,,12,,CNN ↔ MJZ
23609,UUA,SVO,CR2,15.0,50,30.0,SVO ↔ UUA
23695,UUA,REN,CR2,46.0,50,92.0,REN ↔ UUA
23780,SWT,CEK,CN1,,12,,CEK ↔ SWT
23945,EYK,DME,CR2,,50,,DME ↔ EYK
24705,TJM,PES,CR2,24.0,50,48.0,PES ↔ TJM
25382,IKT,MJZ,CR2,,50,,IKT ↔ MJZ
26057,ULY,RTW,CN1,,12,,RTW ↔ ULY
27580,KEJ,DME,SU9,9.0,97,9.278350515463918,DME ↔ KEJ
29272,KGD,ESL,CR2,10.0,50,20.0,ESL ↔ KGD
29440,UUD,VKO,319,8.0,116,6.896551724137931,UUD ↔ VKO
32658,KRO,KJA,CR2,45.0,50,90.0,KJA ↔ KRO
1,DME,LED,321,79.0,170,46.470588235294116,DME ↔ LED
2,DME,LED,321,101.0,170,59.411764705882355,DME ↔ LED
3,DME,LED,321,97.0,170,57.05882352941176,DME ↔ LED
4,DME,LED,321,,170,,DME ↔ LED
5,DME,LED,321,93.0,170,54.70588235294118,DME ↔ LED
6,DME,LED,321,101.0,170,59.411764705882355,DME ↔ LED
7,DME,LED,321,,170,,DME ↔ LED
8,DME,LED,321,,170,,DME ↔ LED
9,DME,LED,321,131.0,170,77.05882352941177,DME ↔ LED
10,DME,LED,321,,170,,DME ↔ LED
11,DME,LED,321,,170,,DME ↔ LED
12,DME,LED,321,90.0,170,52.94117647058824,DME ↔ LED
13,DME,LED,321,112.0,170,65.88235294117646,DME ↔ LED
14,DME,LED,321,,170,,DME ↔ LED
15,DME,LED,321,,170,,DME ↔ LED
16,DME,LED,321,,170,,DME ↔ LED
17,DME,LED,321,101.0,170,59.411764705882355,DME ↔ LED
18,DME,LED,321,96.0,170,56.470588235294116,DME ↔ LED
19,DME,LED,321,,170,,DME ↔ LED
20,DME,LED,321,,170,,DME ↔ LED
21,DME,LED,321,85.0,170,50.0,DME ↔ LED
22,DME,LED,321,1.0,170,0.5882352941176471,DME ↔ LED
23,DME,LED,321,,170,,DME ↔ LED
24,DME,LED,321,,170,,DME ↔ LED
25,DME,LED,321,115.0,170,67.64705882352942,DME ↔ LED
26,DME,LED,321,90.0,170,52.94117647058824,DME ↔ LED
