route,total_flights,total_passengers,total_available_seats,utilization,delayed_flights,cancelled_flights,delay_rate,cancellation_rate
AAQ ↔ EGO,122,8610.0,11834,72.75646442453946,0,1,0.0,0.819672131147541
AAQ ↔ NOZ,18,0.0,2340,0.0,0,0,0.0,0.0
AAQ ↔ SVO,122,10626.0,15860,66.99873896595207,0,1,0.0,0.819672131147541
ABA ↔ ARH,16,0.0,1856,0.0,0,2,0.0,12.5
ABA ↔ DME,35,1955.0,4060,48.15270935960591,0,0,0.0,0.0
ABA ↔ GRV,18,0.0,2340,0.0,0,2,0.0,11.11111111111111
ABA ↔ KYZ,35,0.0,420,0.0,0,2,0.0,5.714285714285714
ABA ↔ OVB,244,901.0,2928,30.77185792349727,1,2,0.4098360655737705,0.819672131147541
ABA ↔ TOF,122,948.0,1464,64.75409836065575,0,2,0.0,1.639344262295082
AER ↔ EGO,244,387.0,2928,13.217213114754097,1,2,0.4098360655737705,0.819672131147541
AER ↔ GOJ,52,410.0,2600,15.769230769230768,0,2,0.0,3.8461538461538463
AER ↔ IAR,18,0.0,900,0.0,0,1,0.0,5.555555555555555
AER ↔ IWA,35,0.0,1750,0.0,1,2,2.857142857142857,5.714285714285714
AER ↔ KGP,17,212.0,2210,9.592760180995477,0,1,0.0,5.88235294117647
AER ↔ KJA,36,1120.0,4176,26.81992337164751,0,2,0.0,5.555555555555555
AER ↔ KUF,122,11614.0,15860,73.22824716267338,1,0,0.819672131147541,0.0
AER ↔ NOZ,34,644.0,4420,14.570135746606336,0,0,0.0,0.0
AER ↔ PEZ,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
AER ↔ ROV,244,4957.0,23668,20.943890485043095,0,0,0.0,0.0
AER ↔ SVO,122,29816.0,49044,60.79438871217682,0,0,0.0,0.0
AER ↔ VKO,122,15656.0,27084,57.80534632993649,0,0,0.0,0.0
ARH ↔ DME,122,3667.0,6100,60.114754098360656,0,1,0.0,0.819672131147541
ARH ↔ HMA,36,919.0,1800,51.05555555555556,0,2,0.0,5.555555555555555
ARH ↔ IKT,16,0.0,1856,0.0,0,1,0.0,6.25
ARH ↔ NNM,122,3928.0,6100,64.39344262295083,0,2,0.0,1.639344262295082
ARH ↔ PEE,244,908.0,2928,31.010928961748636,1,2,0.4098360655737705,0.819672131147541
ARH ↔ TJM,53,482.0,2650,18.18867924528302,0,2,0.0,3.7735849056603774
ARH ↔ TOF,36,494.0,1800,27.444444444444443,0,2,0.0,5.555555555555555
ASF ↔ BAX,34,981.0,1700,57.705882352941174,1,2,2.941176470588235,5.88235294117647
ASF ↔ CNN,18,0.0,2088,0.0,0,2,0.0,11.11111111111111
ASF ↔ DME,122,2081.0,6100,34.114754098360656,0,2,0.0,1.639344262295082
ASF ↔ SVO,122,2163.0,6100,35.459016393442624,0,2,0.0,1.639344262295082
BAX ↔ DME,52,1830.0,5044,36.28072957969865,0,1,0.0,1.9230769230769231
BAX ↔ KJA,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
BAX ↔ SVO,35,1905.0,3395,56.111929307805596,0,1,0.0,2.857142857142857
